gene	locus tag	accession number (protein_id)	description	reference	source	class
ycbV	Z1292		E. coli YcbQ laminin-binding fimbriae (ELF)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ycbF	Z1293m		E. coli YcbQ laminin-binding fimbriae (ELF)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
f17d-A		AAA92618	F17 pili	Escherichia coli 111KH86 (ETEC)	VFDB R3	CU_fimbriae
f17d-D		AAA92619	F17 pili	Escherichia coli 111KH86 (ETEC)	VFDB R3	CU_fimbriae
f17d-C		AAA92620	F17 pili	Escherichia coli 111KH86 (ETEC)	VFDB R3	CU_fimbriae
f17d-G		AAA92621	F17 pili	Escherichia coli 111KH86 (ETEC)	VFDB R3	CU_fimbriae
faeD	ECSE_P3-0031		K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli O152:H28 SE11 (NPEC)	VFDB R3	CU_fimbriae
faeE	ECSE_P3-0032		K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli O152:H28 SE11 (NPEC)	VFDB R3	CU_fimbriae
faeF	ECSE_P3-0033		K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli O152:H28 SE11 (NPEC)	VFDB R3	CU_fimbriae
faeG	ECSE_P3-0034		K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli O152:H28 SE11 (NPEC)	VFDB R3	CU_fimbriae
faeH	ECSE_P3-0035		K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli O152:H28 SE11 (NPEC)	VFDB R3	CU_fimbriae
faeI	ECSE_P3-0036		K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli O152:H28 SE11 (NPEC)	VFDB R3	CU_fimbriae
faeJ	ECSE_P3-0037		K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli O152:H28 SE11 (NPEC)	VFDB R3	CU_fimbriae
faeC		AAL47165	K88 pili/F4 fimbriae (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
fanH	EcSMS35_3922		K99 pili/F5 fimbriae	Escherichia coli O19:H34 SMS-3-5 (environmental)	VFDB R3	CU_fimbriae
fanG	EcSMS35_3923		K99 pili/F5 fimbriae	Escherichia coli O19:H34 SMS-3-5 (environmental)	VFDB R3	CU_fimbriae
fanF	EcSMS35_3924		K99 pili/F5 fimbriae	Escherichia coli O19:H34 SMS-3-5 (environmental)	VFDB R3	CU_fimbriae
fanE	EcSMS35_3925		K99 pili/F5 fimbriae	Escherichia coli O19:H34 SMS-3-5 (environmental)	VFDB R3	CU_fimbriae
fanD	EcSMS35_3926		K99 pili/F5 fimbriae	Escherichia coli O19:H34 SMS-3-5 (environmental)	VFDB R3	CU_fimbriae
fanC	EcSMS35_3927		K99 pili/F5 fimbriae	Escherichia coli O19:H34 SMS-3-5 (environmental)	VFDB R3	CU_fimbriae
fimB	UTI89_C5009		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimE	UTI89_C5010		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimA	UTI89_C5011		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimI	UTI89_C5012		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimC	UTI89_C5013		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimD	UTI89_C5014		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimF	UTI89_C5015		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimG	UTI89_C5016		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
fimH	UTI89_C5017		Type 1 fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
focI-2	c1237		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focB	c1238		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focA	c1239		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focI	c1240		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focC	c1241		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focD	c1242		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focF	c1243		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focG	c1244		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focH	c1245		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focY	c1246		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
focX	c1247		F1C pili	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	CU_fimbriae
fotS		AAO73844	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotT		AAO73845	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotA		AAO73846	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotB		AAO73847	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotC		AAO73848	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotD		AAO73849	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotE		AAO73850	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotF		AAO73851	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
fotG		AAO73852	coli surface antigen CS18 (PCFO20)	Escherichia coli O20:K27:H- ARG-2	VFDB R3	CU_fimbriae
gltF	b3214	NP_417681	putative fimbrial operon	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yhcA	b3215	NP_417682	putative fimbrial operon	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yhcD	b3216	NP_417683	putative fimbrial operon	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yhcE	b4569	AEJ58620	putative fimbrial operon	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yhcF	b3219	NP_417686	putative fimbrial operon	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
hdaD		ACF05257	Hda adhesin (Afa/Dr/AAF family)	Escherichia coli C1010-00 (EAEC)	VFDB R3	CU_fimbriae
hdaC		ACF05258	Hda adhesin (Afa/Dr/AAF family)	Escherichia coli C1010-00 (EAEC)	VFDB R3	CU_fimbriae
hdaB		ACF05259	Hda adhesin (Afa/Dr/AAF family)	Escherichia coli C1010-00 (EAEC)	VFDB R3	CU_fimbriae
hdaA		ACF05260	Hda adhesin (Afa/Dr/AAF family)	Escherichia coli C1010-00 (EAEC)	VFDB R3	CU_fimbriae
ldaA		AAX78184	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaC		AAX78185	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaD		AAX78186	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaE		AAX78187	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaF		AAX78188	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaG		AAX78189	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaH		AAX78190	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaI		AAX78191	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
ldaB		AAX78194	locus for diffuse adherence (lda), afimbrial adhesin	Escherichia coli	VFDB R3	CU_fimbriae
lpfA	ECW_m4031	YP_006126607	long polar fimbriae (lpf2-1 allelic variant)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfB	ECW_m4030	YP_006126606	long polar fimbriae (lpf2-1 allelic variant)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfC	ECW_m4029	YP_006126605	long polar fimbriae (lpf2-1 allelic variant)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfD	ECW_m4028	YP_006126604	long polar fimbriae (lpf2-1 allelic variant)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfA1	ECW_m3818	YP_006126400	long polar fimbriae (lpf1)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfB1	ECW_m3817	YP_006126399	long polar fimbriae (lpf1)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfC1	ECW_m3816	YP_006126398	long polar fimbriae (lpf1)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfD1	ECW_m3815	YP_006126397	long polar fimbriae (lpf1)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
lpfE1	ECW_m3814	YP_006126396	long polar fimbriae (lpf1)	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
nfaA		AAB26856	nonfimbrial adhesin-1, Nfa-I fimbriae (Afa/Dr/AAF family)	Escherichia coli O83:K1:H4 827	VFDB R3	CU_fimbriae
nfaE		AAB26855	nonfimbrial adhesin-1, Nfa-I fimbriae (Afa/Dr/AAF family)	Escherichia coli O83:K1:H4 827	VFDB R3	CU_fimbriae
	EC042_0025	YP_006094360	uncharacterized fimbrial locus	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
	EC042_0024	YP_006094359	uncharacterized fimbrial locus	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
	EC042_0023	YP_006094358	uncharacterized fimbrial locus	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
	EC042_0022	YP_006094357	uncharacterized fimbrial locus	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
papX	UTI89_C4886		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papG	UTI89_C4887		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papF	UTI89_C4888		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papE	UTI89_C4889		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papK	UTI89_C4890		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papJ	UTI89_C4891		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papD	UTI89_C4892		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papC	UTI89_C4893		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papH	UTI89_C4894		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papA	UTI89_C4895		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papB	UTI89_C4896		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papI	UTI89_C4897		P/Pap pilus, pyelonephritis-associated pilus	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
papGI		CAA43570	papG allele I, papG protein	Escherichia coli J96	manually	CU_fimbriae
papGII	ECOPAPK	AAA24293	papG allele II, papG protein	Escherichia coli K-12 HB101 (NPEC)	manually	CU_fimbriae
papGIII		CAA43558	papG allele III, prsG protein	Escherichia coli J96	manually	CU_fimbriae
pixB		CAC85332	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
pixA		CAC85333	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
pixH		CAC85334	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
pixC		CAC85335	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
pixD		CAC85336	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
pixJ		CAC85337	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
pixF		CAC85338	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
pixG		CAC85339	Pix pilus	Escherichia coli X2194	VFDB R3	CU_fimbriae
	pVir_8	YP_003033983	F17b fimbriae	Escherichia coli Vir68 plasmid pVir68 (NTEC)	manually	CU_fimbriae
	pVir_9	YP_003033984	F17b fimbriae	Escherichia coli Vir68 plasmid pVir68 (NTEC)	manually	CU_fimbriae
	pVir_10	YP_003033985	F17b fimbriae	Escherichia coli Vir68 plasmid pVir68 (NTEC)	manually	CU_fimbriae
	pVir_11	YP_003033986	F17b fimbriae	Escherichia coli Vir68 plasmid pVir68 (NTEC)	manually	CU_fimbriae
sfaC	UTI89_C1107		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaB	UTI89_C1108		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaA	UTI89_C1109		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaD	UTI89_C1110		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaE	UTI89_C1111		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaF	UTI89_C1112		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaG	UTI89_C1113		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaS	UTI89_C1114		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfaH	UTI89_C1115		S fimbriae	Escherichia coli O18:K1:H7 UTI89 (UPEC)	VFDB R3	CU_fimbriae
sfmA	b0530	NP_415063	Sfm fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
sfmC	b0531	NP_415064	Sfm fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
sfmD	b0532	NP_415065	Sfm fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
sfmH	b0533	NP_415066	Sfm fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
sfmF	b0534	NP_415067	Sfm fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
sfmZ	b0535	NP_415068	Sfm fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
sfpA	SF0157_p06		Sfp fimbriae	Escherichia coli O157:H- 3072/96 (EHEC)	VFDB R3	CU_fimbriae
sfpH	SF0157_p07		Sfp fimbriae	Escherichia coli O157:H- 3072/96 (EHEC)	VFDB R3	CU_fimbriae
sfpC	SF0157_p08		Sfp fimbriae	Escherichia coli O157:H- 3072/96 (EHEC)	VFDB R3	CU_fimbriae
sfpD	SF0157_p09		Sfp fimbriae	Escherichia coli O157:H- 3072/96 (EHEC)	VFDB R3	CU_fimbriae
sfpJ	SF0157_p10		Sfp fimbriae	Escherichia coli O157:H- 3072/96 (EHEC)	VFDB R3	CU_fimbriae
sfpF	SF0157_p11		Sfp fimbriae	Escherichia coli O157:H- 3072/96 (EHEC)	VFDB R3	CU_fimbriae
sfpG	SF0157_p12		Sfp fimbriae	Escherichia coli O157:H- 3072/96 (EHEC)	VFDB R3	CU_fimbriae
yadN	b0141	NP_414683	Yad fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yadV	b0140	NP_414682	Yad fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
htrE	b0139	NP_414681	Yad fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yadM	b0138	NP_414680	Yad fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yadL	b0137	NP_414679	Yad fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yadK	b0136	NP_414678	Yad fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yadC	b0135	NP_414677	Yad fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
ybgD	b0719	NP_415247	Ybg fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
ybgQ	b0718	NP_415246	Ybg fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
ybgP	b0717	NP_415245	Ybg fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
ybgO	b0716	NP_415244	Ybg fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yehD	b2111	NP_416614	Yeh fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yehC	b2110	NP_416613	Yeh fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yehB	b2109	NP_416612	Yeh fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yehA	b2108	NP_416611	Yeh fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yfcV	b2339	NP_416841	Yfc fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yfcU	EC042_2578	YP_006096881	Yfc fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
yfcS	b2336	NP_416839	Yfc fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yfcR	b2335	NP_416838	Yfc fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yfcQ	b2334	NP_416837	Yfc fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yfcP	b2333	NP_416836	Yfc fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yfcO	b2332	NP_416835	Yfc fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
ygiL	c3791	NP_755662	Yqi fimbriae	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	CU_fimbriae
yqiG	c3792	NP_755663	Yqi fimbriae	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	CU_fimbriae
yqiH	c3793	NP_755664	Yqi fimbriae	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	CU_fimbriae
yqiI	c3794	NP_755665	Yqi fimbriae	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	CU_fimbriae
yneL	EC042_1639A	YP_006095950	Yde fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
	EC042_1639	YP_006095949	Yde fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
	EC042_1638	YP_006095948	Yde fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
ydeT	EC042_1637	YP_006095947	Yde fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
ydeS	EC042_1636	YP_006095946	Yde fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
ydeR	EC042_1635	YP_006095945	Yde fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
ydeQ	EC042_1634	YP_006095944	Yde fimbriae	Escherichia coli O44:H18 042 (EAEC)	manually	CU_fimbriae
yraH	b3142	NP_417611	Yra fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yraI	b3143	NP_417612	Yra fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yraJ	b3144	NP_417613	Yra fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
yraK	b3145	NP_417614	Yra fimbriae	Escherichia coli K-12 MG1655 (NPEC)	manually	CU_fimbriae
flgN	Z1708		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgA	Z1710		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgB	Z1711		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgC	Z1712		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgD	Z1713		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgE	Z1714		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgF	Z1715		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgG	Z1716		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgH	Z1717		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgI	Z1718		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgJ	Z1719		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgK	Z1720		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flgL	Z1721		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flhE	Z2931		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flhA	Z2932		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flhB	Z2934		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
cheZ	Z2935		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
cheY	Z2936		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
cheB	Z2937		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
cheR	Z2938		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
cheM	Z2940		E. coli peritrichous flagella 1 gene cluster (Flag-1), Tar	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
cheW	Z2941		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
cheA	Z2942		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
motB	Z2943		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
motA	Z2944		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flhC	Z2945		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flhD	Z2946		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliY	Z3010		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliZ	Z3011		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliA	Z3012		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliC	Z3013		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliD	Z3014		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliS	Z3015		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliT	Z3016		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliE	Z3027		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliF	Z3028		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliG	Z3029		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliH	Z3030		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliI	Z3031		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliJ	Z3032		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliK	Z3033		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliL	Z3034		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
